base,digits,fixed_point_values
2,34,"8589934591,12884901885,15032385529,16106127345,16642998241,16911433665,17045651329,17112760065,17146314241,17163090945,17171478529,17175670785,17177763841,17178804225,17179312129,17179541505,17179607041"
2,35,"17179869183,25769803773,30064771065,32212254705,33285996513,33822867393,34091302785,34225520385,34292628993,34326182913,34342959105,34351345665,34355535873,34357624833,34358657025,34359148545,34359345153"
2,36,"34359738367,51539607549,60129542137,64424509425,66571993057,67645734849,68182605697,68451041025,68585258497,68652366849,68685920257,68702695425,68711079937,68715266049,68717346817,68718362625,68718821377,68718952449"
3,34,"15750655914445120,16642861280010244,16675909020965440,16677134039683396,16677179738649280"
3,35,"41692907177311288,49722692709530728,50020101470203048,50031119704098808,50031528805018648,50031544238065288"
3,36,"147315057941334772,149991674038030144,150090817260895732,150094492317049600,150094629413947252"
4,34,"245956587638007442089,269015017717259479701,270456169530372303189,270546241248310236501,270551869648399848789,270552217094089692501,282850075785426545313,288614683295575878225,288974971198119781713,288997488921647142225,288998895197085848913,292073447822281321089,293514599690154977601,293604671615056647489,293610300839981307201,293610651584256365889,294379290831495014913,294739578788799751425,294762096719290848513,294763503819564602625,294763590681045062913,294955751583798437889,295045823563460940801,295051452995349337089,295051804564459443201,295099866771874291713,295122384757126221825,295123792064363712513,295123879750679220225,295135895568893247489,295141525055542476801,295141876831616319489,295141898547218432001,295144902768147955713,295146310130146279425,295146398023425523713,295147154567961509889,295147506398796185601,295147528321362034689,295147717517914406913,295147805465954484225,295147810895783002113,295147858255400665089,295147880232727347201,295147893439764365313,295147898924353716225,295147902235823833089,295147903596992921601,295147904434712870913,295147904983931813889,295147905119223283713"
4,35,"1057613326864047844005,1080671756891760274005,1082112908498714666325,1082202979392018863445,1082208604493573346645,1149847047232595602065,1155611654691205327185,1155971942387590796625,1155994459286484374865,1155995862263387215185,1172905477324732541505,1174346629141066589505,1174436700859809813825,1174442329260100506945,1174442676705836750145,1178670084847766776065,1179030372753531901185,1179052890477864506625,1179054296753503556865,1180111236728525333505,1180201308656648213505,1180206937882377933825,1180207288626850386945,1180471524698714968065,1180494042632427229185,1180495449733505306625,1180495536595171364865,1180561596691262357505,1180567226126371733505,1180567577696283213825,1180584114689399128065,1180585521999856861185,1180585609686961946625,1180589744188933013505,1180590095968224149505,1180590117684568653825,1180591151563815256065,1180591239460299997185,1180591503407530901505,1180591525333255061505,1180591591368440152065,1180591596801238237185,1180591613358588821505,1180591618855811416065,1180591620228858773505"
4,36,"3148244134263101150550,3935305402345558026921,4304240283768209451669,4327298713589763451221,4328739864372084118869,4328829931966853371221,4328835543874267338069,4525601212704263678625,4617834933021271829073,4623599540273723123025,4623959827145474856273,4623982340745833305425,4623983730528592680273,4673175165293940091521,4696233595334537423169,4697674746944713037121,4697764817838822479169,4697770442940577305921,4710068653441359194625,4715833260912853820673,4716193548612460500225,4716216065512159139073,4716217468489259373825,4719292025478213969921,4720733177307432915969,4720823249029397304321,4720828877430492320769,4720829224876414161921,4721597868487427661825,4721958156406077673473,4721980674133631258625,4721982080410071683073,4722174329239731077121,4722264401180738797569,4722270030409688760321,4722270381154950791169,4722318444427806900225,4722340962374403817473,4722342369478699188225,4722342456341107638273,4722354473224825733121,4722360102672819027969,4722360454245936005121,4722363480424079949825,4722364887747418652673,4722364975437682049025,4722365732223891537921,4722366084016051847169,4722366105735365918721,4722366295173836570625,4722366383083143299073,4722366435911291371521,4722366457849648775169,4722366471095529242625,4722366476540205596673,4722366479891085393921,4722366482087961165825,4722366482629127045121"
5,34,"580910590286247241191376,582076593612631162109376"
5,35,"2910373657340964963359376,2910383045524359130859376"
5,36,"14546085134124717651269376,14551915150756637255859376"
6,34,"219659006832110651841506150,227617706744142115209572960,229202036710678566295483220,267411001922077087075879525,276954003352685449893454675,284875847108112478105100125,285981220655381365762539025,286246300865764771601554825,286466356011661907109879025,286497061380856856250575425,286504424192825987049294625,286510537490927589322213825,286511390509267347778900225,286511764866972063467745025,286511788577173663717991425,286511798979539588019354625,286511799640709077086081025,286511799949044943723905025,286511799957777976777703425"
6,35,"1317954278543555628626267750,1374991316926078870114604900,1375254183413077475294798900,1652218006622445884360852575,1661760865901021662282642675,1709476157358128646162088525,1717213772189010859764160825,1717478828706895127914018825,1718804277143810432487413425,1719019214728175076472288225,1719063395549233487624620225,1719069366677611796821425025,1719070593943872700856519425,1719070759915283902608244225,1719070798637657849396557825,1719070799716833382628941825"
6,36,"6188654876251292523404129895,8241989411028255025502835260,8251494395767392684419962100,9961060034824658668070690875,9970602041191038936617770675,10199820010274575477598568025,10257078018858225654504018925,10304609081390787823773891625,10311241322674401149718525025,10312831803936701584752619825,10314152134812084397802565025,10314336367027254092646743425,10314380543899068877439058625,10314417223687678491076573825,10314422341797717041816692225,10314424587943945335949761025,10314424730205154937451239425,10314424792619350483259418625,10314424796586367417659777025,10314424798436382617486721025,10314424798488780815809511425"
7,34,"52801613584628458062991474200,53929049973179953355099078400,54090112314401595539680114200,54113121220290401566008480000,54116408206845945283772914200,54116877776353880098619078400,54116944857712156486898674200,54116954440763338731192480000"
7,35,"368300333463339512379676802544,369772826807079219157155655344,377316069579616415614822099344,377526425771020950853943865744,378604031881941687505557122544,378634082765869769665828116144,378788026496559583489947705744,378792319479419600911070265744,378814311441504997202002562544,378818066433640056303718099344,378818602861087921889631362544,378818679493580474115867705744,378818690441079410145928322544,378818692005007829562982099344,378818692228426175083305602544,378818692260343080811419705744,378818692264902633349054082544"
7,36,"2587279065647364627223933115652,2642523448686387896537246075052,2650415503406248363581999304452,2651542939794799858874066555052,2651704002136021501058365115652,2651727011041910307082716155052,2651730298028465850786639304452,2651730767597973785504596475052,2651730834679332061214653115652"
8,34,"4346225059649104319423015850570,4978638334331131326058378110025,5047965092215862521696736584833,5070422745215606348985466916865,5070558177972040988878789214209,5070602049422044695946460135425,5070602314392087351207649083393,5070602400741584581665050591233,5070602400912541142001555341313"
8,35,"34045274303225956236033535354002,34679118946153184770848681993354,34758349526519088337700573258826,34768253349064826283557043151434,34769491326883043526788969763402,39839010497204012207843933233737,40462951318166592968589159507009,40563401309261484311868495663105,40564620204069396070908396339201,40564818817959604701388265750529,40564819206532342238446572535809"
8,36,"185439173516402491600124374791900,272363587150181150686222658380946,278158406235412762487392431805002,318721987800187059262128374223433,323782841125772436543728542884417,324337455188850286108835410682881,324517116412848236727145253339137,324518199874899713846291831717889,324518550846499743502833199087617,324518552966260084744922710671361,324518553657056062588581922734081,324518553658423715071273960734721"
9,34,"208167081584922669524738336587200,208595701701371473233814114650912,239499366509497649828759763809312,277693813835187740145946267206400"
9,35,"1842600580041204299515316695817520,1877318937076231821361784932840080,1877366432489527783596974418398640,2503155504892287196796405270271040"
9,36,"16892436762787957658232378741828192,16896294228972318860917639653686400,19711491050019822380134566435142400,22524488364462622471838092293544384"
